id_cip;oznaceni;id_vyr;;;;
1;B760;2;;;;
2;Z690;2;;;;
3;Z790;2;;;;
4;B650;1;;;;
5;"X670E	";1;;;;
6;B550;1;;;;
id_for;oznaceni;;;;;
1;ATX;;;;;
3;E-ATX;;;;;
2;M-ATX;;;;;
id_gpu;nazev;id_vyr;id_mod;;;
1;ASUS GeForce RTX 4060;4;11;;;
2;ASUS GeForce RTX 4060 Ti;4;12;;;
3;MSI GeForce RTX 4070;3;13;;;
4;MSI GeForce RTX 4090;3;14;;;
5;GIGABYTE GeForce RTX 3060;5;8;;;
6;GIGABYTE GeForce RTX 3050;5;7;;;
7;Inno3D GeForce RTX 3060 Ti;6;9;;;
8;Inno3D GeForce RTX 4070;6;13;;;
9;ASUS GeForce RTX 4070;4;13;;;
10;MSI GeForce RTX 4060 Ti;3;12;;;
11;Inno3D GeForce RTX 3060;6;8;;;
12;ASUS GeForce RTX 4090;4;14;;;
13;GIGABYTE GeForce RTX 3070;5;10;;;
id;jmeno;id_nadrizeneho;;;;
1;Adam;NULL;;;;
2;Honza;5;;;;
3;Monika;1;;;;
4;Jirka;1;;;;
5;Karel;2;;;;
6;Ondra;4;;;;
id_mod;oznaceni;;;;;
4;Core i5;;;;;
5;Core i7;;;;;
6;Core i9;;;;;
7;RTX 3050;;;;;
8;RTX 3060;;;;;
9;RTX 3060 Ti;;;;;
10;RTX 3070;;;;;
11;RTX 4060;;;;;
12;RTX 4060 Ti;;;;;
13;RTX 4070;;;;;
14;RTX 4090;;;;;
1;Ryzen 5;;;;;
2;Ryzen 7;;;;;
3;Ryzen 9;;;;;
id_pat;nazev;id_vyr;;;;
1;LGA1700;2;;;;
2;LGA1200;2;;;;
3;AM4;1;;;;
4;AM5;1;;;;
id_ses;nazev;id_cpu;id_zak;id_skr;cena;
1;R5_76_NC_F;1;2;1;35300;
2;i9_119_NC_Z;8;10;1;28427;
3;i7_147_MMB_A;3;8;7;28572;
4;R9_59X_D7_V;6;6;3;38142;
5;i7_147_ICUE5D_I;5;8;4;37640;
6;i5_136_MMC_Z;5;11;7;22906;
7;i5_136_D7_I;5;7;3;23732;
8;i7_147_ICUE5D_D;3;8;4;23710;
9;R9_79X_D7_Z;4;3;3;27727;
10;R7_78X_65X_Y;2;4;6;36524;
11;R9_59X_MMC_Q;6;5;7;40653;
12;i9_119_MMB_T;8;10;8;40516;
13;i7_127_MMB_F;10;1;8;32927;
14;i9_119_MMC_C;8;10;7;23656;
15;i5_136_MMB_L;5;8;8;35118;
16;i7_127_65X_A;10;1;6;29690;
17;R9_79X_20D_R;4;4;5;38763;
18;R9_59X_MMB_X;6;6;8;31738;
19;R7_58X_D7_W;11;4;3;37274;
20;i7_147_ICUE5D_W;3;8;4;22836;
21;i7_127_MMB_L;10;7;8;27655;
22;i9_119_MMC_J;8;10;7;36702;
23;i5_136_MMC_N;5;12;7;41222;
